"uncle","learn"
"seeing","require"
"office","fur"
"idea","tail"
"naturally","solve"
"experiment","chemical"
"wrote","power"
"pressure","connected"
"curious","lead"
"wheat","direction"
"opposite","height"
"guide","atmosphere"
"west","bicycle"
"happily","written"
"moving","shells"
"track","laid"
"right","pencil"
"hand","excited"
"air","structure"
"scared","wait"
"skill","feel"
"season","opportunity"
"disappear","close"
"mental","across"
"suppose","spent"
"wrapped","ship"
"bare","rather"
"silent","rock"
"immediately","pain"
"region","throughout"
"dream","carry"
"live","broken"
"money","red"
"discover","cattle"
"surprise","ranch"
"express","exactly"
"source","nor"
"get","per"
"plant","bicycle"
"jump","reader"
"gift","start"
"closely","please"
"pick","telephone"
"drew","body"
"happy","hand"
"using","six"
"faster","girl"
"waste","courage"
"brass","use"
"roll","weak"
"stuck","breath"
"rain","thrown"
"term","simply"
"grown","slip"
"whole","pole"
"mistake","soon"
"corner","natural"
"snake","cattle"
"softly","alive"
"trail","largest"
"beat","boat"
"brass","plus"
"practice","identity"
"wife","ought"
"wagon","famous"
"plant","faster"
"tobacco","spirit"
"needs","flew"
"desert","form"
"soldier","fat"
"table","atmosphere"
"trail","seen"
"touch","stepped"
"introduced","folks"
"modern","canal"
"given","wave"
"people","food"
"curious","home"
"near","scientific"
"horse","found"
"needle","clear"
"these","suggest"
"series","half"
"seldom","coffee"
"solve","card"
"cap","air"
"shop","by"
"nearer","grass"
"sale","rabbit"
"letter","advice"
"basis","modern"
"safety","wheel"
"select","shade"
"popular","coming"
"location","transportation"
"circus","realize"
"breath","effort"
"silence","sick"
"event","mysterious"
"appearance","center"
"total","story"
